name,mass,radius,orbital_period,star_name,star_distance,star_age
K2-267 Ab,3.0,1.051,6.180235,K2-267 A,376.0,3.09
K2-27 Bb,0.09722,0.4,6.771315,K2-27 B,249.645,10.3
K2-280 b,0.1167,0.684,19.895202,K2-280,396.9,8.96
K2-287 b,0.315,0.833,14.893291,K2-287,159.05,4.5
K2-290 Ab,0.0343,0.273,9.21165,K2-290 A,272.909,4.0
K2-290 Ac,0.774,1.006,48.36685,K2-290 A,272.909,4.0
K2-291 b,0.02042,0.142,2.225177,K2-291,90.29,3.72
K2-292 b,0.07709,0.235,16.9841,K2-292,114.29,6.8
K2-29 Ab,0.73,1.19,3.2588321,K2-29 A,178.475,2.6
K2-309 Ab,0.0425,0.8788,24.14041,K2-309 A,108.5,0.023
K2-309 Ac,0.053,0.0428,8.24872,K2-309 A,108.5,0.023
K2-309 Ad,0.019,0.5656,12.40214,K2-309 A,108.5,0.023
K2-309 Ae,0.0334,0.848,46.768131,K2-309 A,108.5,0.023
K2-30 b,0.579,1.039,4.098503,K2-30,336.26,3.9
K2-314 b,0.02753,0.174,3.5951,EPIC 249893012,324.7,9.0
K2-314 c,0.04616,0.3274,15.624,EPIC 249893012,324.7,9.0
K2-314 d,0.03203,0.3515,35.747,EPIC 249893012,324.7,9.0
K2-329 Ab,0.26,0.774,12.4551225,K2-329 A,230.4,1.8
K2-33 b,3.7,0.45,5.424865,K2-33,139.8,0.009
K2-36 Bb,0.01227,0.128,1.422614,K2-36 B,109.749,1.4
K2-36 Bc,0.02454,0.2783,5.3410507,K2-36 B,109.749,1.4
K2-38 b,0.06,0.17,4.01593,K2-38,192.69,6.1
K2-38 c,0.03115,0.216,10.56103,K2-38,192.69,6.1
K2-39 b,0.09,0.56,4.60543,K2-39,310.14,3.09
K2-3 b,0.02039,0.194,10.054626,K2-3,45.0,1.0
K2-3 c,0.00673,0.165,24.646582,K2-3,45.0,1.0
K2-3 d,0.00881,0.135,44.55646,K2-3,45.0,1.0
K2-418 b,0.0327,0.2079,16.141132,K2-418,121.97,4.9
K2-419 Ab,0.617,0.941,20.35847252,K2-419 A,263.8,7.4
K2-60 b,0.426,0.683,3.00265,K2-60,498.7,10.0
K2-77 b,1.9,0.205,8.199796,K2-77,142.31,0.85
K2-95 b,1.67,0.346,10.134016,K2-95,180.63,0.8
K2-97 b,1.1,0.947,8.406726,K2-97,869.76,7.8
K2-98 b,0.101,0.464,10.136448,K2-98,526.31,5.2
K2-99 b,0.87,1.046,18.24783,K2-99,522.29,2.4
KELT-10 b,0.679,1.399,4.166285,KELT-10,183.0,4.5
KELT-12 b,0.95,1.79,5.0316144,WASP-86,360.0,0.8
KELT-16 Ab,2.75,1.415,0.9689951,KELT-16 A,365.0,2.9
KELT-18 Ab,1.176,1.568,2.8716082,KELT-18 A,311.0,1.9
KELT-19 Ab,4.07,1.91,4.6117093,KELT-19 A,255.0,1.1
KELT-20 Ab,3.518,1.83,3.4741085,KELT-20 A,136.426,0.3
KELT-21 Ab,3.88,1.584,3.6127732,KELT-21 A,415.0,1.6
KELT-22 Ab,3.69,1.2,1.38665318,KELT-22 A,232.98,5.0
KELT-23 Ab,0.937,1.29,2.25528756,KELT-23 A,125.42,6.4
KELT-3 Ab,1.47,1.35,2.7033904,KELT-3 A,210.252,3.0
KELT-4 Ab,0.9,1.7,2.989594,KELT-4 A,211.0,4.38
KELT-7 b,1.24,1.293,2.734784,KELT-7,129.0,1.3
KELT-8 b,0.874,1.86,3.24406,KELT-8,236.0,5.4
KELT-9 Ab,2.88,1.936,1.4811235,KELT-9 A,204.455,0.3
Kepler-100 b,0.023,0.118,6.88705,Kepler-100,307.34,6.46
Kepler-100 c,0.02218,0.196,12.8159,Kepler-100,307.34,6.46
Kepler-100 d,0.00944,0.144,35.3331,Kepler-100,307.34,6.46
Kepler-101 b,0.16,0.51,3.4876812,Kepler-101,953.44,5.9
Kepler-101 c,0.01,0.112,6.02976,Kepler-101,953.44,5.9
Kepler-102 b,0.01353,0.042,5.28696,Kepler-102,108.13,1.41
Kepler-102 c,0.00944,0.052,7.07142,Kepler-102,108.13,1.41
Kepler-102 d,0.012,0.105,10.3117,Kepler-102,108.13,1.41
Kepler-102 e,0.028,0.198,16.1457,Kepler-102,108.13,1.41
Kepler-102 f,0.01636,0.079,27.4536,Kepler-102,108.13,1.41
Kepler-103 b,0.031,0.301,15.9654,Kepler-103,501.93,5.7
Kepler-103 c,0.114,0.459,179.612,Kepler-103,501.93,5.7
Kepler-104 Ab,0.031314,0.2123,11.427548,Kepler-104 A,400.785,3.72
Kepler-104 Ac,0.0224785,0.2105,23.668205,Kepler-104 A,400.785,3.72
Kepler-104 Ad,5.54,0.23508,51.755394,Kepler-104 A,400.785,3.72
Kepler-106 b,0.01668,0.073,6.16486,Kepler-106,449.98,4.83
Kepler-106 c,0.033,0.223,13.5708,Kepler-106,449.98,4.83
Kepler-106 d,0.02549,0.085,23.9802,Kepler-106,449.98,4.83
Kepler-106 e,0.035,0.228,43.8445,Kepler-106,449.98,4.83
